,day,parts_of_day,duration_minutes,month,subscriber_type,year,start_hour,count,path_id,origin-dest,latitude,location,longitude,name,station_id,status,start_count,end_count
50,5,evening,15.511363636363637,3,Walk Up,2015.2892561983472,15.662190082644628,968,50,origin,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
50,5,evening,15.511363636363637,3,Walk Up,2015.2892561983472,15.662190082644628,968,50,destination,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
51,5,late afternoon,31.519131334022752,5,Walk Up,2016.3102378490175,14.175801447776628,967,51,origin,30.27466,(30.27466 -97.77028),-97.77028,MoPac Pedestrian Bridge @ Veterans Drive,3377,active,8436,8260
51,5,late afternoon,31.519131334022752,5,Walk Up,2016.3102378490175,14.175801447776628,967,51,destination,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
52,2,late afternoon,11.526915113871636,3,Local365,2015.5186335403728,15.700828157349896,966,52,origin,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
52,2,late afternoon,11.526915113871636,3,Local365,2015.5186335403728,15.700828157349896,966,52,destination,30.26217,(30.26217 -97.72743),-97.72743,Plaza Saltillo,2542,active,9729,10810
53,3,late afternoon,15.064583333333333,3,Local365,2015.2322916666667,15.704166666666667,960,53,origin,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
53,3,late afternoon,15.064583333333333,3,Local365,2015.2322916666667,15.704166666666667,960,53,destination,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
54,5,late afternoon,21.04646251319958,3,Walk Up,2015.335797254488,15.061246040126717,947,54,origin,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
54,5,late afternoon,21.04646251319958,3,Walk Up,2015.335797254488,15.061246040126717,947,54,destination,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
55,5,early afternoon,26.472668810289388,3,Walk Up,2015.534833869239,14.487674169346196,933,55,origin,30.25941,(30.25941 -97.74971),-97.74971,Long Center @ South 1st & Riverside,2549,active,15708,16643
55,5,early afternoon,26.472668810289388,3,Walk Up,2015.534833869239,14.487674169346196,933,55,destination,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
56,5,late afternoon,18.806243272335845,10,Walk Up,2015.599569429494,14.702906350914962,929,56,origin,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
56,5,late afternoon,18.806243272335845,10,Walk Up,2015.599569429494,14.702906350914962,929,56,destination,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
57,1,late afternoon,14.367965367965368,3,Local365,2015.2045454545455,14.984848484848484,924,57,origin,30.2587,(30.2587 -97.74872),-97.74872,Barton Springs & Riverside,2502,active,15464,16151
57,1,late afternoon,14.367965367965368,3,Local365,2015.2045454545455,14.984848484848484,924,57,destination,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
58,4,early morning,13.511500547645126,10,Local365,2015.2420591456737,12.369112814895947,913,58,origin,30.26717,(30.26717 -97.75484),-97.75484,Pfluger Bridge @ W 2nd Street,2566,active,18833,17983
58,4,early morning,13.511500547645126,10,Local365,2015.2420591456737,12.369112814895947,913,58,destination,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
59,5,late afternoon,27.90297684674752,3,Walk Up,2015.427783902977,15.061742006615216,907,59,origin,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
59,5,late afternoon,27.90297684674752,3,Walk Up,2015.427783902977,15.061742006615216,907,59,destination,30.25941,(30.25941 -97.74971),-97.74971,Long Center @ South 1st & Riverside,2549,active,15708,16643
60,5,late afternoon,17.4390243902439,3,Walk Up,2015.5620842572062,15.82039911308204,902,60,origin,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
60,5,late afternoon,17.4390243902439,3,Walk Up,2015.5620842572062,15.82039911308204,902,60,destination,30.26854,(30.26854 -97.73646),-97.73646,Red River & 8th Street,2571,active,9154,9158
61,4,late morning,9.436182019977803,3,Local365,2015.7968923418423,11.890122086570477,901,61,origin,30.2678,(30.2678 -97.75189),-97.75189,3rd & West,2552,active,15342,13180
61,4,late morning,9.436182019977803,3,Local365,2015.7968923418423,11.890122086570477,901,61,destination,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
62,4,late morning,12.527252502780868,3,Local365,2015.2647385984428,13.327030033370411,899,62,origin,30.25941,(30.25941 -97.74971),-97.74971,Long Center @ South 1st & Riverside,2549,active,15708,16643
62,4,late morning,12.527252502780868,3,Local365,2015.2647385984428,13.327030033370411,899,62,destination,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
63,4,early afternoon,17.32329988851728,3,Annual Membership (Austin B-cycle),2014.6688963210702,13.333333333333334,897,63,origin,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
63,4,early afternoon,17.32329988851728,3,Annual Membership (Austin B-cycle),2014.6688963210702,13.333333333333334,897,63,destination,30.2698,(30.2698 -97.74186),-97.74186,8th & Congress,2496,active,12851,13913
64,5,early afternoon,20.048423423423422,7,Walk Up,2015.2331081081081,13.993243243243244,888,64,origin,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
64,5,early afternoon,20.048423423423422,7,Walk Up,2015.2331081081081,13.993243243243244,888,64,destination,30.2726,(30.2726 -97.74127),-97.74127,Capitol Station / Congress & 11th,2497,active,19878,16977
65,4,late afternoon,20.353279631760646,3,Walk Up,2015.3417721518988,15.432681242807826,869,65,origin,30.26735,(30.26735 -97.73933),-97.73933,Trinity & 6th Street,2565,active,10721,12945
65,4,late afternoon,20.353279631760646,3,Walk Up,2015.3417721518988,15.432681242807826,869,65,destination,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
66,5,early afternoon,17.242707117852976,3,Walk Up,2015.369894982497,15.26487747957993,857,66,origin,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
66,5,early afternoon,17.242707117852976,3,Walk Up,2015.369894982497,15.26487747957993,857,66,destination,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
68,2,late afternoon,17.477139507620166,3,Local365,2015.398593200469,15.354044548651817,853,68,origin,30.2698,(30.2698 -97.74186),-97.74186,8th & Congress,2496,active,12851,13913
68,2,late afternoon,17.477139507620166,3,Local365,2015.398593200469,15.354044548651817,853,68,destination,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
67,6,early afternoon,23.743259085580306,5,Walk Up,2015.5662368112544,13.698710433763189,853,67,origin,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
